day,rh_10am,rh_4pm,rh_mean,tmin,tmax,tmean,ea_mbar,ed_mbar,vpd_mbar,wind_kmday,f_u,ra_mmday,n_hr,N_hr,n_over_N,rs_mmday,f_T,f_ed,f_nN,rnl_mmday,rn_mmday,w_factor,c_factor,eto_mmday,kc,etc_mmday
12.0,71.0,68.0,69.5,19.0,30.0,24.5,33.6,23.352000000000004,10.247999999999998,78.33,0.21419100000000002,14.55,5.8,11.8,0.4915254237288135,3.8258474576271184,15.9,0.10737480864206142,0.5423728813559322,0.9259712311369637,1.9434143620833753,0.764,1.040678,2.0842652189702457,1.2,2.5011182627642947
13.0,81.0,63.0,72.0,21.0,32.0,26.5,36.75,26.46,10.29,88.93,0.24281100000000005,14.55,7.4,11.8,0.6271186440677966,4.812288135593221,16.1,0.09366714776683435,0.6644067796610169,1.0019527169255,2.6072633847694155,0.779,1.037125,2.6791347407736796,1.2,3.2149616889284154
14.0,84.0,68.0,76.0,22.0,27.0,24.5,34.65,26.334,8.315999999999999,107.53,0.293031,14.55,0.1,11.8,0.00847457627118644,0.31165254237288137,16.1,0.09420667857529533,0.1076271186440678,0.16324101329059865,0.0704983934890624,0.769,1.076148,0.6641174508199732,1.2,0.7969409409839678
15.0,85.0,83.0,84.0,20.0,30.0,25.0,36.75,30.87,5.879999999999999,156.72,0.425844,14.55,4.4,11.8,0.3728813559322034,2.96271186440678,16.1,0.07553257885763184,0.43559322033898307,0.5297138161681751,1.69232008213691,0.779,1.05082,1.9668125487060715,1.2,2.3601750584472856
16.0,84.0,67.0,75.5,21.0,28.0,24.5,36.75,27.74625,9.00375,100.58,0.274266,14.55,3.2,11.8,0.2711864406779661,2.2228813559322034,16.1,0.08823127907329689,0.3440677966101695,0.4887564227038242,1.1784045942453283,0.779,1.042558,1.526012527510307,1.2,1.8312150330123682
17.0,78.0,79.0,78.5,19.0,32.0,25.5,36.75,28.84875,7.901250000000001,80.26,0.21940200000000004,14.55,6.7,11.8,0.5677966101694915,4.380720338983051,16.1,0.0836714575003688,0.6110169491525423,0.8231073269576535,2.4624329272796346,0.779,1.081996,2.490051291134261,1.2,2.988061549361113
18.0,82.0,62.0,72.0,20.0,29.0,24.5,38.95,28.044,10.906000000000002,158.6,0.43091999999999997,14.55,3.0,11.8,0.2542372881355932,2.0995762711864407,16.5,0.08699102163221267,0.32881355932203393,0.47196315295714036,1.10271905043269,0.759,1.080173,2.1274770027231296,1.2,2.552972403267755
19.0,83.0,75.0,79.0,21.0,30.0,25.5,36.75,29.0325,7.717500000000001,123.09,0.33504300000000004,14.55,5.2,11.8,0.4406779661016949,3.4559322033898305,16.1,0.08292001349755398,0.4966101694915255,0.6629806435118839,1.928968509030489,0.759,1.083457,2.2614341790259416,1.2,2.7137210148311297
20.0,80.0,64.0,72.0,20.0,30.0,25.0,35.7,25.704,9.996000000000002,85.5,0.23355,14.55,6.2,11.8,0.5254237288135593,4.072457627118643,16.2,0.0969239053596285,0.5728813559322034,0.89951955285963,2.154823667479352,0.774,1.092022,2.397474665055056,1.2,2.876969598066067
21.0,97.0,59.0,78.0,20.0,28.0,24.0,29.8,23.244,6.556000000000001,113.48,0.30909600000000004,14.55,4.4,11.8,0.3728813559322034,2.96271186440678,15.4,0.10786706054928671,0.43559322033898307,0.7235868682067237,1.4984470300983614,0.744,1.090968,1.7822179087331478,1.2,2.138661490479777
22.0,79.0,69.0,74.0,20.0,31.0,25.5,32.65,24.160999999999998,8.489,114.42,0.3116340000000001,14.55,5.8,11.8,0.4915254237288135,3.8258474576271184,15.65,0.10372310340676702,0.5423728813559322,0.880415765866253,1.988969827354086,0.744,1.085322,2.341073822181967,1.2,2.8092885866183606
23.0,83.0,65.0,74.0,19.0,30.0,24.5,35.7,26.418000000000003,9.282,67.69,0.185463,14.55,6.1,11.8,0.5169491525423728,4.010805084745762,16.2,0.09384684835271478,0.5652542372881356,0.8593667247376477,2.1487370888216737,0.774,1.043247,2.1409245532821624,1.2,2.5691094639385947
24.0,74.0,67.0,70.5,21.0,31.0,26.0,30.75,21.67875,9.07125,67.58,0.185166,14.55,6.5,11.8,0.5508474576271186,4.257415254237288,16.65,0.1151340438237724,0.5957627118644068,1.1420662934364954,2.050995147241471,0.754,1.058211,2.0737267439454032,1.2,2.488472092734484
25.0,80.0,64.0,72.0,21.0,31.0,26.0,35.7,25.704,9.996000000000002,84.3,0.23031000000000001,14.55,6.1,11.8,0.5169491525423728,4.010805084745762,16.2,0.0969239053596285,0.5652542372881356,0.8875437008245167,2.120560112734805,0.744,1.079254,2.33880222270259,1.2,2.806562667243108
26.0,89.0,72.0,80.5,19.0,29.0,24.0,33.6,27.048000000000002,6.552,110.58,0.301266,14.55,3.1,11.8,0.2627118644067796,2.1612288135593216,15.9,0.09116615634919734,0.33644067796610166,0.4876848548500325,1.1332367553194587,0.764,1.07941,1.4373769634131162,1.2,1.7248523560957394
27.0,97.0,89.0,93.0,19.0,28.0,23.5,35.7,33.201,2.4990000000000023,93.67,0.25560900000000003,14.55,6.1,11.8,0.5169491525423728,4.010805084745762,16.2,0.06647064075338338,0.5652542372881356,0.6086795437259397,2.3994242698333816,0.744,1.085978,2.1162409638937323,1.2,2.5394891566724787
28.0,80.0,61.0,70.5,21.0,30.0,25.5,36.75,25.90875,10.841249999999999,63.15,0.17320500000000003,14.55,7.0,11.8,0.5932203389830508,4.565677966101695,16.1,0.09603719058736562,0.6338983050847458,0.9801327786487516,2.4441256959275193,0.744,1.089932,2.505901622530614,1.2,3.0070819470367365
29.0,79.0,66.0,72.5,21.0,32.0,26.5,34.65,25.12125,9.528749999999999,48.03,0.132381,14.55,9.3,11.8,0.788135593220339,5.983686440677967,16.1,0.0994671453048322,0.809322033898305,1.2960653327410572,3.1916994977674173,0.744,1.074544,2.898635460686201,1.2,3.478362552823441
30.0,83.0,65.0,74.0,21.0,32.0,26.5,32.65,24.160999999999998,8.489,114.56,0.312012,14.55,8.3,11.8,0.7033898305084746,5.367161016949153,15.65,0.10372310340676702,0.7330508474576272,1.1899369335536076,2.8354338291582564,0.744,1.079771,3.0099936700134644,1.2,3.6119924040161573
31.0,84.0,65.0,74.5,19.0,38.0,28.5,33.6,25.032000000000004,8.567999999999998,90.45,0.24691500000000002,14.55,0.7,11.8,0.05932203389830508,0.6815677966101694,15.9,0.09985924502718721,0.15338983050847457,0.2435465434438492,0.26762930401377794,0.744,1.084322,0.8031589736361747,1.2,0.9637907683634096
32.0,74.0,70.0,72.0,18.0,30.0,24.0,34.14,24.5808,9.5592,56.58,0.155466,14.55,7.0,11.8,0.5932203389830508,4.565677966101695,15.9,0.10185227757320045,0.6338983050847458,1.026567379350498,2.397691095225773,0.744,1.09149016129032,2.3623466528140233,1.2,2.834815983376828
33.0,83.0,70.0,76.5,22.0,30.0,26.0,34.08,26.071199999999997,8.0088,68.83,0.18854100000000001,14.55,6.4,11.8,0.5423728813559322,4.195762711864407,15.9,0.09533615511168694,0.588135593220339,0.8915223196571362,2.2552997142411684,0.744,1.0934896875,2.257509132409449,1.2,2.7090109588913385
34.0,99.0,67.0,83.0,18.0,27.0,22.5,34.02,28.236600000000003,5.7834,84.46,0.230742,14.55,1.6,11.8,0.13559322033898305,1.2364406779661017,15.9,0.0861922636010519,0.22203389830508474,0.3042879082281881,0.6230426002463881,0.744,1.09548921370968,0.8820537958456872,1.2,1.0584645550148246
35.0,87.0,76.0,81.5,19.0,28.0,23.5,33.97,27.68555,6.28445,80.46,0.219942,14.55,3.4,11.8,0.28813559322033894,2.346186440677966,15.9,0.08848493612725761,0.3593220338983051,0.5055339367758643,1.2541058937326102,0.744,1.09748873991935,1.412360122305348,1.2,1.6948321467664174
36.0,86.0,82.0,84.0,21.0,28.0,24.5,33.91,28.484399999999997,5.425599999999999,101.92,0.2778840000000001,14.55,0.2,11.8,0.01694915254237288,0.37330508474576274,15.9,0.08516857450502927,0.1152542372881356,0.1560750216183689,0.12390379194095319,0.744,1.09948826612903,0.5257229569448176,1.2,0.6308675483337811
37.0,87.0,83.0,85.0,21.0,27.0,24.0,33.85,28.7725,5.077500000000001,90.57,0.24723900000000001,14.55,1.0,11.8,0.0847457627118644,0.8665254237288136,15.9,0.08398398359433315,0.17627118644067796,0.23538290723998184,0.41451116055662834,0.744,1.10148779233871,0.6936811529157033,1.2,0.832417383498844
38.0,86.0,83.0,84.5,21.0,28.0,24.5,33.79,28.55255,5.237449999999999,88.07,0.240489,14.55,5.4,11.8,0.4576271186440678,3.5792372881355936,15.9,0.08488782081738089,0.511864406779661,0.6908717593235586,1.9935562067781363,0.744,1.10348731854839,1.9925123079617943,1.2,2.391014769554153
39.0,81.0,72.0,76.5,18.0,30.0,24.0,33.79,25.84935,7.940649999999998,104.14,0.2838780000000001,14.55,4.1,11.8,0.34745762711864403,2.7777542372881356,15.9,0.09629407339098053,0.41271186440677965,0.6318931343121861,1.4514225436539157,0.744,1.10548684475806,1.8317114298191595,1.2,2.1980537157829914
40.0,79.0,66.0,72.5,21.0,31.0,26.0,33.79,24.49775,9.29225,107.39,0.29265300000000005,14.55,3.4,11.8,0.28813559322033894,2.346186440677966,15.9,0.10222111213434854,0.3593220338983051,0.5840117369194272,1.1756280935890473,0.744,1.10748637096774,1.7396782876195844,1.2,2.0876139451435014
41.0,75.0,65.0,70.0,19.0,30.0,24.5,34.79,24.352999999999998,10.437000000000001,108.39,0.29535300000000003,15.55,9.0,12.8,0.703125,5.716796875,16.9,0.10286546106158057,0.7328125,1.2739405170628026,3.013657139187197,0.744,1.10748637096774,3.3571304382545297,1.2,4.028556525905436
42.0,79.0,72.0,75.5,18.0,28.0,23.0,35.79,27.02145,8.768549999999998,109.39,0.29805300000000007,16.55,3.8,13.8,0.27536231884057966,2.528623188405797,17.9,0.09127849423370787,0.34782608695652173,0.5683078423594333,1.3281595489449143,0.744,1.10748637096774,1.8353317503923856,1.2,2.202398100470863
43.0,76.0,75.0,75.5,21.0,27.0,24.0,36.79,27.77645,9.013549999999999,110.39,0.30075300000000005,17.55,1.6,14.8,0.10810810810810811,1.1986486486486487,18.9,0.08810518073919807,0.1972972972972973,0.3285370753131664,0.57044941117332,0.744,1.10748637096774,1.2386044798478653,1.2,1.4863253758174382
